REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Adjustments,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Sep-19,Canada,2016A000011124,Health and personal care stores [446],Unadjusted,Dollars,81,thousands,3,v52367116,1.19.1,3877343,A,,,0
Sep-19,Canada,2016A000011124,Health and personal care stores [446],Seasonally adjusted,Dollars,81,thousands,3,v52367117,1.19.2,4050205,A,,,0
Sep-19,Canada,2016A000011124,Gasoline stations [447],Unadjusted,Dollars,81,thousands,3,v52367120,1.20.1,5290783,B,,,0
Sep-19,Canada,2016A000011124,Gasoline stations [447],Seasonally adjusted,Dollars,81,thousands,3,v52367121,1.20.2,5212643,B,,,0
Sep-19,Canada,2016A000011124,Clothing and clothing accessories stores [448],Unadjusted,Dollars,81,thousands,3,v52367122,1.21.1,2868751,A,,,0
Sep-19,Canada,2016A000011124,Clothing and clothing accessories stores [448],Seasonally adjusted,Dollars,81,thousands,3,v52367123,1.21.2,2962735,A,,,0
Sep-19,Canada,2016A000011124,Clothing stores [4481],Unadjusted,Dollars,81,thousands,3,v52367124,1.22.1,2269240,A,,,0
Sep-19,Canada,2016A000011124,Clothing stores [4481],Seasonally adjusted,Dollars,81,thousands,3,v52367125,1.22.2,2304259,A,,,0
Sep-19,Canada,2016A000011124,Shoe stores [4482],Unadjusted,Dollars,81,thousands,3,v52367126,1.23.1,340380,A,,,0
Sep-19,Canada,2016A000011124,Shoe stores [4482],Seasonally adjusted,Dollars,81,thousands,3,v52367127,1.23.2,351169,A,,,0
Sep-19,Canada,2016A000011124,"Jewellery, luggage and leather goods stores [4483]",Unadjusted,Dollars,81,thousands,3,v52367128,1.24.1,259131,A,,,0
Sep-19,Canada,2016A000011124,"Jewellery, luggage and leather goods stores [4483]",Seasonally adjusted,Dollars,81,thousands,3,v52367129,1.24.2,307307,A,,,0
Sep-19,Canada,2016A000011124,"Sporting goods, hobby, book and music stores [451]",Unadjusted,Dollars,81,thousands,3,v52367130,1.25.1,1082127,A,,,0
Sep-19,Canada,2016A000011124,"Sporting goods, hobby, book and music stores [451]",Seasonally adjusted,Dollars,81,thousands,3,v52367131,1.25.2,1032721,A,,,0
